KAMStructure,RH_NVH,BH_KAM_Group,BH_KAM_L1,Region,Final Branch,Branch,Role,Vertical,Vertical_New,BVH
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,GOVERNMENT,GOVERNMENT,BVH - GOVERNMENT - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,INTERIOR DECOR,INTERIOR DECOR,BVH - INTERIOR DECOR - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,LUXURY,LUXURY,BVH - LUXURY - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,REAL ESTATE,REAL ESTATE,BVH - REAL ESTATE - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,SPORTS MEDIA & ENTERTAINMENT,MEDIA ENTERTAINMENT,BVH - MEDIA ENTERTAINMENT - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,TECHNOLOGY,TECHNOLOGY,BVH - TECHNOLOGY - MUMBAI1
Development Accounts,RH WEST 1,DA,DA MUM 1,WEST1,MUM,MUMBAI1,BVH,TRAVEL & TOURISM,TRAVEL & TOURISM,BVH - TRAVEL & TOURISM - MUMBAI1
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,AUTOMOBILES,AUTOMOBILES,BVH - AUTOMOBILES - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,CONS.DURABLES,CONS.DURABLES,BVH - CONS.DURABLES - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,CONS.SOFT & OTC,CONS.SOFT & OTC,BVH - CONS.SOFT & OTC - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,CONSUMER SERVICES,CONSUMER SERVICES,BVH - CONSUMER SERVICES - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,EDUCATION,EDUCATION,BVH - EDUCATION - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,HUMAN CAPITAL,APPOINTMENTS,BVH - APPOINTMENTS - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,OBIT / PERSONAL,OBIT / PERSONAL,BVH - OBIT / PERSONAL - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,RETAIL,RETAIL,BVH - RETAIL - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,RETAIL HEALTHCARE & PHARMA,RETAIL HEALTHCARE & PHARMA,BVH - RETAIL HEALTHCARE & PHARMA - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,TELECOM,TELECOM,BVH - TELECOM - MUMBAI2
Development Accounts,RH WEST 2,DA,DA MUM 2,WEST2,MUM,MUMBAI2,BVH,TIMES INTERACT,CLASSIFIEDS,BVH - CLASSIFIEDS - MUMBAI2
